Provincia,anio,proy
CHUBUT,2017,587956
CHUBUT,2018,598380
CHUBUT,2019,608729
CHUBUT,2020,618994
LA PAMPA,2017,349299
LA PAMPA,2018,352378
LA PAMPA,2019,355422
LA PAMPA,2020,358428
NEUQUEN,2017,637913
NEUQUEN,2018,646784
NEUQUEN,2019,655501
NEUQUEN,2020,664057
RIO NEGRO,2017,718646
RIO NEGRO,2018,728403
RIO NEGRO,2019,738060
RIO NEGRO,2020,747610
SANTA CRUZ,2017,338542
SANTA CRUZ,2018,347593
SANTA CRUZ,2019,356647
SANTA CRUZ,2020,365698
TIERRA DEL FUEGO,2017,160720
TIERRA DEL FUEGO,2018,164944
TIERRA DEL FUEGO,2019,169183
TIERRA DEL FUEGO,2020,173432
